model_name,fold,run,criterion,num_trees,with_title,with_keywords,nb_added_negs,f1,recall,precision,accuracy,roc_auc,AP,MCC,NDCG,kappa,TN,FP,FN,TP
Random Forest,4,1,entropy,200,True,False,500,0.8178913738019169,0.8205128205128205,0.8152866242038217,0.7521739130434782,{},{},0.4301701546995936,{},0.4301486568721203,45.0,29.0,28.0,128.0
Random Forest,5,1,entropy,200,True,False,500,0.7863777089783281,0.8193548387096774,0.7559523809523809,0.7,{},{},0.2880794610203653,{},0.2854570013507429,34.0,41.0,28.0,127.0
Random Forest,1,1,log_loss,300,True,False,500,0.8141025641025641,0.8141025641025641,0.8141025641025641,0.7478260869565218,{},{},0.4222106722106722,{},0.4222106722106722,45.0,29.0,29.0,127.0
Random Forest,2,1,log_loss,300,True,False,500,0.8176470588235294,0.8910256410256411,0.7554347826086957,0.7304347826086957,{},{},0.3304077260284109,{},0.3141592920353983,29.0,45.0,17.0,139.0
Random Forest,3,1,log_loss,300,True,False,500,0.808641975308642,0.8397435897435898,0.7797619047619048,0.7304347826086957,{},{},0.3576670598587236,{},0.354867897213174,37.0,37.0,25.0,131.0
Random Forest,4,1,log_loss,300,True,False,500,0.8291139240506329,0.8397435897435898,0.81875,0.7652173913043478,{},{},0.4546774050566431,{},0.4543057996485061,45.0,29.0,25.0,131.0
Random Forest,5,1,log_loss,300,True,False,500,0.7889908256880734,0.832258064516129,0.75,0.7,{},{},0.2795064244434354,{},0.275011420740064,32.0,43.0,26.0,129.0
Random Forest,1,1,gini,300,True,False,500,0.805111821086262,0.8076923076923077,0.802547770700637,0.7347826086956522,{},{},0.3901785881753791,{},0.3901590889333217,43.0,31.0,30.0,126.0
Random Forest,2,1,gini,300,True,False,500,0.8093841642228738,0.8846153846153846,0.745945945945946,0.717391304347826,{},{},0.2937799872375167,{},0.2781265089328826,27.0,47.0,18.0,138.0
Random Forest,3,1,gini,300,True,False,500,0.8048780487804879,0.8461538461538461,0.7674418604651163,0.7217391304347827,{},{},0.3287548716870265,{},0.3240264511388685,34.0,40.0,24.0,132.0
Random Forest,4,1,gini,300,True,False,500,0.8427672955974843,0.8589743589743589,0.8271604938271605,0.782608695652174,{},{},0.4919787330184305,{},0.4910603646663126,46.0,28.0,22.0,134.0
Random Forest,5,1,gini,300,True,False,500,0.790273556231003,0.8387096774193549,0.7471264367816092,0.7,{},{},0.2752976485742043,{},0.2696732627703635,31.0,44.0,25.0,130.0
