model_name,fold,run,criterion,num_trees,with_title,with_keywords,nb_added_negs,f1,recall,precision,accuracy,AP,MCC,NDCG,kappa,TN,FP,FN,TP,roc_auc
Random Forest,2,1,gini,300,True,False,100,0.8414634146341463,0.9452054794520548,0.7582417582417582,0.7373737373737373,0,0.1599351991890693,0,0.127457627118644,4.0,22.0,4.0,69.0,0
Random Forest,3,1,gini,300,True,False,100,0.8363636363636363,0.9452054794520548,0.75,0.7272727272727273,0,0.1040175936669491,0,0.0792283844299002,3.0,23.0,4.0,69.0,0
Random Forest,4,1,gini,300,True,False,100,0.84472049689441,0.9315068493150684,0.7727272727272727,0.7474747474747475,0,0.2272296156064184,0,0.199288256227758,6.0,20.0,5.0,68.0,0
Random Forest,1,2,gini,300,True,False,100,0.8466257668711656,0.9324324324324323,0.7752808988764045,0.75,0,0.2287893309630838,0,0.20076726342711,6.0,20.0,5.0,69.0,0
Random Forest,2,2,gini,300,True,False,100,0.85,0.9315068493150684,0.7816091954022989,0.7575757575757576,0,0.2706615859786659,0,0.2428298279158699,7.0,19.0,5.0,68.0,0
Random Forest,3,2,gini,300,True,False,100,0.8395061728395061,0.9315068493150684,0.7640449438202247,0.7373737373737373,0,0.1808109611912639,0,0.1544021024967148,5.0,21.0,5.0,68.0,0
Random Forest,4,2,gini,300,True,False,100,0.8466257668711656,0.9452054794520548,0.7666666666666667,0.7474747474747475,0,0.2104989306130837,0,0.1741741741741742,5.0,21.0,4.0,69.0,0
Random Forest,1,1,entropy,300,True,False,100,0.8553459119496856,0.918918918918919,0.8,0.77,0,0.3256211080828545,0,0.3072289156626506,9.0,17.0,6.0,68.0,0
Random Forest,2,1,entropy,300,True,False,100,0.8427672955974843,0.9178082191780822,0.7790697674418605,0.7474747474747475,0,0.2437021424696822,0,0.2229199372056514,7.0,19.0,6.0,67.0,0
Random Forest,3,1,entropy,300,True,False,100,0.8301886792452831,0.9041095890410958,0.7674418604651163,0.7272727272727273,0,0.1757401365415173,0,0.1607535321821035,6.0,20.0,7.0,66.0,0
Random Forest,4,1,entropy,300,True,False,100,0.8354430379746836,0.9041095890410958,0.7764705882352941,0.7373737373737373,0,0.2189143915240365,0,0.203589108910891,7.0,19.0,7.0,66.0,0
Random Forest,1,2,entropy,300,True,False,100,0.8414634146341463,0.9324324324324323,0.7666666666666667,0.74,0,0.1823843010350212,0,0.1558441558441557,5.0,21.0,5.0,69.0,0
Random Forest,2,2,entropy,300,True,False,100,0.8375,0.9178082191780822,0.7701149425287356,0.7373737373737373,0,0.2003321974960204,0,0.1797323135755257,6.0,20.0,6.0,67.0,0
Random Forest,3,2,entropy,300,True,False,100,0.84472049689441,0.9315068493150684,0.7727272727272727,0.7474747474747475,0,0.2272296156064184,0,0.199288256227758,6.0,20.0,5.0,68.0,0
Random Forest,4,2,entropy,300,True,False,100,0.8354430379746836,0.9041095890410958,0.7764705882352941,0.7373737373737373,0,0.2189143915240365,0,0.203589108910891,7.0,19.0,7.0,66.0,0
Random Forest,1,1,log_loss,400,True,False,100,0.8481012658227848,0.9054054054054054,0.7976190476190477,0.76,0,0.3009838502167152,0,0.2874109263657957,9.0,17.0,7.0,67.0,0
Random Forest,2,1,log_loss,400,True,False,100,0.84472049689441,0.9315068493150684,0.7727272727272727,0.7474747474747475,0,0.2272296156064184,0,0.199288256227758,6.0,20.0,5.0,68.0,0
Random Forest,3,1,log_loss,400,True,False,100,0.8481012658227848,0.9178082191780822,0.788235294117647,0.7575757575757576,0,0.2847883269674397,0,0.2648514851485147,8.0,18.0,6.0,67.0,0
Random Forest,4,1,log_loss,400,True,False,100,0.8427672955974843,0.9178082191780822,0.7790697674418605,0.7474747474747475,0,0.2437021424696822,0,0.2229199372056514,7.0,19.0,6.0,67.0,0
Random Forest,1,2,log_loss,400,True,False,100,0.8484848484848485,0.945945945945946,0.7692307692307693,0.75,0,0.2119030227645117,0,0.1754617414248021,5.0,21.0,4.0,70.0,0
Random Forest,2,2,log_loss,400,True,False,100,0.8354430379746836,0.9041095890410958,0.7764705882352941,0.7373737373737373,0,0.2189143915240365,0,0.203589108910891,7.0,19.0,7.0,66.0,0
Random Forest,3,2,log_loss,400,True,False,100,0.8518518518518519,0.9452054794520548,0.7752808988764045,0.7575757575757576,0,0.2569823873952432,0,0.2194480946123521,6.0,20.0,4.0,69.0,0
Random Forest,4,2,log_loss,400,True,False,100,0.85,0.9315068493150684,0.7816091954022989,0.7575757575757576,0,0.2706615859786659,0,0.2428298279158699,7.0,19.0,5.0,68.0,0
Random Forest,1,1,gini,400,True,False,100,0.8588957055214724,0.945945945945946,0.7865168539325843,0.77,0,0.3016521752188429,0,0.2647058823529412,7.0,19.0,4.0,70.0,0
Random Forest,2,1,gini,400,True,False,100,0.8363636363636363,0.9452054794520548,0.75,0.7272727272727273,0,0.1040175936669491,0,0.0792283844299002,3.0,23.0,4.0,69.0,0
Random Forest,3,1,gini,400,True,False,100,0.8148148148148148,0.9041095890410958,0.7415730337078652,0.696969696969697,0,0.0284681087833053,0,0.0243101182654401,3.0,23.0,7.0,66.0,0
Random Forest,4,1,gini,400,True,False,100,0.8395061728395061,0.9315068493150684,0.7640449438202247,0.7373737373737373,0,0.1808109611912639,0,0.1544021024967148,5.0,21.0,5.0,68.0,0
Random Forest,1,2,gini,400,True,False,100,0.8414634146341463,0.9324324324324323,0.7666666666666667,0.74,0,0.1823843010350212,0,0.1558441558441557,5.0,21.0,5.0,69.0,0
Random Forest,2,2,gini,400,True,False,100,0.8427672955974843,0.9178082191780822,0.7790697674418605,0.7474747474747475,0,0.2437021424696822,0,0.2229199372056514,7.0,19.0,6.0,67.0,0
Random Forest,3,2,gini,400,True,False,100,0.8343558282208589,0.9315068493150684,0.7555555555555555,0.7272727272727273,0,0.1306545086563968,0,0.1081081081081081,4.0,22.0,5.0,68.0,0
