,model_name,fold,loss_type,run,with_title,with_keywords,f1,recall,precision,accuracy,AP,MCC,NDCG,kappa,TN,FP,FN,TP
22,google-bert/bert-base-uncased,2,focal,1,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,1.0,34.0,0.0,0.0,98.0
23,google-bert/bert-base-uncased,3,focal,1,True,True,0.8471615720524017,1.0,0.7348484848484849,0.7348484848484849,0.9999999999999999,0.0,1.0000000000000004,0.0,0.0,35.0,0.0,97.0
24,Ensemble,1,focal,0,True,True,0.9949238578680203,1.0,0.98989898989899,0.9924812030075187,1.0,0.9806202943118002,1.0000000000000004,0.98043254376931,34.0,1.0,0.0,98.0
25,Ensemble,2,focal,0,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,1.0,34.0,0.0,0.0,98.0
26,Ensemble,3,focal,0,True,True,0.8471615720524017,1.0,0.7348484848484849,0.7348484848484849,0.9999999999999999,0.0,1.0000000000000004,0.0,0.0,35.0,0.0,97.0
27,dmis-lab/biobert-v1.1,1,focal,2,True,True,0.9948717948717949,0.9897959183673469,1.0,0.9924812030075187,1.0,0.9809697178310792,1.0000000000000004,0.980788675429727,35.0,0.0,1.0,97.0
28,dmis-lab/biobert-v1.1,2,focal,2,True,True,0.8521739130434782,1.0,0.7424242424242424,0.7424242424242424,1.0,0.0,1.0000000000000004,0.0,0.0,34.0,0.0,98.0
29,dmis-lab/biobert-v1.1,3,focal,2,True,True,0.9795918367346939,0.9896907216494846,0.9696969696969697,0.9696969696969697,0.9995917117484943,0.9215150488583784,0.9999361711546718,0.9207920792079208,32.0,3.0,1.0,96.0
30,google-bert/bert-base-uncased,1,focal,2,True,True,0.9949238578680203,1.0,0.98989898989899,0.9924812030075187,0.9998969284683572,0.9806202943118002,0.9999840486799633,0.98043254376931,34.0,1.0,0.0,98.0
31,google-bert/bert-base-uncased,2,focal,2,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,1.0,34.0,0.0,0.0,98.0
32,google-bert/bert-base-uncased,3,focal,2,True,True,0.9846153846153847,0.9896907216494846,0.9795918367346939,0.9772727272727273,0.9995813383147697,0.9413226848786879,0.9999347802522394,0.941141498216409,33.0,2.0,1.0,96.0
33,Ensemble,1,focal,1,True,True,0.9949238578680203,1.0,0.98989898989899,0.9924812030075187,1.0,0.9806202943118002,1.0000000000000004,0.98043254376931,34.0,1.0,0.0,98.0
34,Ensemble,2,focal,1,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,1.0,34.0,0.0,0.0,98.0
35,Ensemble,3,focal,1,True,True,0.9846153846153847,0.9896907216494846,0.9795918367346939,0.9772727272727273,0.9995917117484943,0.9413226848786879,0.9999361711546718,0.941141498216409,33.0,2.0,1.0,96.0
