,model_name,fold,criterion,num_trees,run,with_title,with_keywords,f1,recall,precision,accuracy,AP,MCC,NDCG,kappa,TN,FP,FN,TP
0,Random Forest,1,log_loss,300,0,True,False,0.7624309392265194,0.7040816326530612,0.8313253012048193,0.6766917293233082,{},0.27644783941529333,{},0.26726457399103143,21.0,14.0,29.0,69.0
0,Random Forest,2,log_loss,300,0,True,False,0.7093023255813954,0.6224489795918368,0.8243243243243243,0.6212121212121212,{},0.21154737171179186,{},0.19512195121951226,21.0,13.0,37.0,61.0
0,Random Forest,3,log_loss,300,0,True,False,0.7411764705882353,0.6494845360824743,0.863013698630137,0.6666666666666666,{},0.32296810283735894,{},0.2983812515100266,25.0,10.0,34.0,63.0
0,Random Forest,1,log_loss,300,1,True,False,0.78125,0.7653061224489796,0.7978723404255319,0.6842105263157895,{},0.21516976602887739,{},0.21456692913385822,16.0,19.0,23.0,75.0
0,Random Forest,2,log_loss,300,1,True,False,0.7597765363128491,0.6938775510204082,0.8395061728395061,0.6742424242424242,{},0.2797803825484741,{},0.2678018575851394,21.0,13.0,30.0,68.0
0,Random Forest,3,log_loss,300,1,True,False,0.7439024390243902,0.6288659793814433,0.9104477611940298,0.6818181818181818,{},0.4038847792836964,{},0.3590751445086705,29.0,6.0,36.0,61.0
0,Random Forest,1,gini,300,0,True,False,0.7914438502673797,0.7551020408163265,0.8314606741573034,0.706766917293233,{},0.3055973761521925,{},0.30160226201696505,20.0,15.0,24.0,74.0
0,Random Forest,2,gini,300,0,True,False,0.7624309392265194,0.7040816326530612,0.8313253012048193,0.6742424242424242,{},0.26458753137515917,{},0.2555089192025183,20.0,14.0,29.0,69.0
0,Random Forest,3,gini,300,0,True,False,0.7558139534883721,0.6701030927835051,0.8666666666666667,0.6818181818181818,{},0.3425488886353898,{},0.3200883002207505,25.0,10.0,32.0,65.0
0,Random Forest,1,gini,300,1,True,False,0.8080808080808081,0.8163265306122449,0.8,0.7142857142857143,{},0.2496751135729437,{},0.24948024948024938,15.0,20.0,18.0,80.0
0,Random Forest,2,gini,300,1,True,False,0.7759562841530054,0.7244897959183674,0.8352941176470589,0.6893939393939394,{},0.28559909753012047,{},0.27801494130202764,20.0,14.0,27.0,71.0
0,Random Forest,3,gini,300,1,True,False,0.7325581395348837,0.6494845360824743,0.84,0.6515151515151515,{},0.27325164219880516,{},0.2553348050036791,23.0,12.0,34.0,63.0
0,Random Forest,1,entropy,300,0,True,False,0.7624309392265194,0.7040816326530612,0.8313253012048193,0.6766917293233082,{},0.27644783941529333,{},0.26726457399103143,21.0,14.0,29.0,69.0
0,Random Forest,2,entropy,300,0,True,False,0.7093023255813954,0.6224489795918368,0.8243243243243243,0.6212121212121212,{},0.21154737171179186,{},0.19512195121951226,21.0,13.0,37.0,61.0
0,Random Forest,3,entropy,300,0,True,False,0.7411764705882353,0.6494845360824743,0.863013698630137,0.6666666666666666,{},0.32296810283735894,{},0.2983812515100266,25.0,10.0,34.0,63.0
0,Random Forest,1,entropy,300,1,True,False,0.78125,0.7653061224489796,0.7978723404255319,0.6842105263157895,{},0.21516976602887739,{},0.21456692913385822,16.0,19.0,23.0,75.0
0,Random Forest,2,entropy,300,1,True,False,0.7597765363128491,0.6938775510204082,0.8395061728395061,0.6742424242424242,{},0.2797803825484741,{},0.2678018575851394,21.0,13.0,30.0,68.0
